lon,lat,Intensity
144.0,8.5,20.0
142.9,8.7,20.0
141.8,8.9,20.0
140.8,9.1,20.0
139.6,9.3,20.0
138.5,9.5,25.0
137.3,9.8,25.0
135.9,10.0,25.0
134.4,10.3,30.0
132.9,10.6,35.0
131.3,10.9,35.0
130.1,11.7,40.0
129.3,12.7,45.0
128.9,13.9,50.0
128.1,14.9,55.0
127.1,15.7,60.0
126.0,16.5,60.0
125.1,17.5,60.0
124.4,18.4,65.0
123.7,19.4,65.0
123.0,20.3,65.0
122.6,21.4,65.0
122.3,22.6,65.0
122.1,23.8,65.0
121.7,25.2,60.0
121.0,26.5,60.0
120.7,27.8,55.0
120.7,29.2,50.0
120.8,30.7,40.0
121.1,32.2,30.0
121.3,33.6,25.0
121.5,34.8,25.0
121.7,35.8,25.0
122.1,36.7,25.0
122.8,37.6,20.0
123.3,38.1,20.0
123.9,38.6,15.0
124.4,39.1,15.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
124.4,39.1,0.0
134.2,8.4,20.0
133.8,8.7,20.0
133.5,8.8,25.0
133.2,9.1,25.0
132.9,9.2,25.0
132.7,9.4,25.0
132.5,9.7,30.0
132.3,9.9,30.0
132.2,10.2,35.0
132.1,10.4,40.0
131.9,10.7,45.0
131.8,10.9,45.0
131.7,11.3,55.0
131.6,11.6,65.0
131.1,11.9,85.0
130.4,12.1,95.0
129.6,12.2,110.0
128.6,12.2,125.0
127.6,12.2,140.0
126.5,12.3,140.0
125.5,12.4,135.0
124.2,12.7,125.0
122.9,12.9,120.0
121.7,13.3,115.0
120.5,13.7,110.0
119.0,14.1,95.0
117.6,14.4,100.0
116.2,14.8,105.0
115.1,15.3,105.0
114.0,15.7,115.0
112.7,15.8,115.0
111.6,15.8,115.0
110.8,16.3,115.0
110.1,16.7,105.0
109.2,17.0,95.0
108.3,17.3,90.0
107.5,17.5,80.0
106.8,17.7,65.0
105.6,18.0,45.0
104.3,18.1,30.0
102.0,18.7,25.0
100.2,19.8,20.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
100.2,19.8,0.0
